year,kes_per_usd,fx_lag,fx_depreciation_pct,inflation,reserves_usd,log_reserves,inflation_lag,reserves_lag,reserves_pct_change,fx_dep_z,reserves_change_z,inflation_z,fx_pressure
1967,7.14286000614286,7.14286000614286,0.0,1.75919579598299,75830000.0,18.144004550677117,5.01439539323414,52400000.0,44.713740458015266,-0.4620269027128677,0.40126614496039126,-1.117927387917069,-1.981220435590328
1968,7.14286000614286,7.14286000614286,0.0,0.366711570051019,100050000.0,18.421180618994015,1.75919579598299,75830000.0,31.939865488592904,-0.4620269027128677,0.20554631725136566,-1.2940592578347363,-1.9616324777989695
1969,7.14286000614286,7.14286000614286,0.0,-0.17150100656233,169660000.0,18.949306992343864,0.366711570051019,100050000.0,69.5752123938031,-0.4620269027128677,0.7821907285744429,-1.3621364293866576,-2.6063540606739686
1970,7.14286000614286,7.14286000614286,0.0,2.18852703907439,219830000.0,19.2083650783363,-0.17150100656233,169660000.0,29.570906518920193,-0.4620269027128677,0.16924940323710078,-1.0636223457115428,-1.6948986516615112
1971,7.1428599977626,7.14286000614286,-1.173235935501443e-07,3.78020612544907,170946360.160737,18.956860381987504,2.18852703907439,219830000.0,-22.237019441961056,-0.46202691206134416,-0.6245456172479134,-0.8622948128237752,-0.699776107637206
1972,7.142859999,7.1428599977626,1.7323586302584343e-08,5.83164474311005,201994376.018234,19.123750413484007,3.78020612544907,170946360.160737,18.16243167055634,-0.46202690133250485,-0.005549922503089704,-0.6028134391600168,-1.059290417989432
1973,7.00119166566667,7.142859999,-1.9833558736019399,9.28119422332106,233045794.709654,19.266745536036026,5.83164474311005,201994376.018234,15.372417442264325,-0.6200629384398405,-0.04829819625511755,-0.16648849629293289,-0.7382532384776559
1974,7.142859999,7.00119166566667,2.023488858733308,17.8099480331818,193282885.761395,19.07966540307006,9.28119422332106,233045794.709654,-17.062272673831604,-0.30079302541017594,-0.545258748672752,0.9122923822429151,1.1567581055054912
1975,7.34319333233333,7.142859999,2.8046655451930604,19.1201840136051,173405883.888286,18.97114555419342,17.8099480331818,193282885.761395,-10.283891299950318,-0.23854798488387405,-0.4414011770417604,1.0780208759433805,1.280874068101267
1976,8.36714499916667,7.34319333233333,13.944228627683101,11.4490304932756,275522172.368629,19.434178663785758,19.1201840136051,173405883.888286,58.888594891122494,0.6490649809577699,0.6184516171909621,0.10771572720330377,0.13832909097011156
